    ,symbol ,name                                   ,sector                 ,sub_sector                                              ,hq                                            ,date_added  ,founded        ,market_cap    ,mkh
488 ,DAY    ,Dayforce                               ,Industrials            ,Human Resource & Employment Services                    ,"Minneapolis, Minnesota"                      ,2021-09-20  ,1992           ,   8041847000 ,8.04B
489 ,BIO    ,Bio-Rad                                ,Health Care            ,Life Sciences Tools & Services                          ,"Hercules, California"                        ,2020-06-22  ,1952           ,   8031713836 ,8.03B
490 ,CZR    ,Caesars Entertainment                  ,Consumer Discretionary ,Casinos & Gaming                                        ,"Reno, Nevada"                                ,2021-03-22  ,1973           ,   7955452160 ,7.96B
491 ,PARA   ,Paramount Global                       ,Communication Services ,Movies & Entertainment                                  ,"New York City, New York"                     ,1994-09-30  ,2019           ,   7712997015 ,7.71B
492 ,BWA    ,BorgWarner                             ,Consumer Discretionary ,Automotive Parts & Equipment                            ,"Auburn Hills, Michigan"                      ,2011-12-19  ,1880           ,   7682697360 ,7.68B
493 ,ETSY   ,Etsy                                   ,Consumer Discretionary ,Broadline Retail                                        ,"New York City, New York"                     ,2020-09-21  ,2005           ,   7654434180 ,7.65B
494 ,NCLH   ,Norwegian Cruise Line Holdings         ,Consumer Discretionary ,"Hotels, Resorts & Cruise Lines"                        ,"Miami, Florida"                              ,2017-10-13  ,2011           ,   7508217500 ,7.51B
495 ,GL     ,Globe Life                             ,Financials             ,Life & Health Insurance                                 ,"McKinney, Texas"                             ,1989-04-30  ,1900           ,   7439705911 ,7.44B
496 ,MKTX   ,MarketAxess                            ,Financials             ,Financial Exchanges & Data                              ,"New York City, New York"                     ,2019-07-01  ,2000           ,   7408086012 ,7.41B
497 ,AAL    ,American Airlines Group                ,Industrials            ,Passenger Airlines                                      ,"Fort Worth, Texas"                           ,2015-03-23  ,1934           ,   7400695200 ,7.4B
498 ,MHK    ,Mohawk Industries                      ,Consumer Discretionary ,Home Furnishings                                        ,"Calhoun, Georgia"                            ,2013-12-23  ,1878           ,   7263788994 ,7.26B
499 ,FMC    ,FMC Corporation                        ,Materials              ,Fertilizers & Agricultural Chemicals                    ,"Philadelphia, Pennsylvania"                  ,2009-08-19  ,1883           ,   7138341420 ,7.14B
500 ,IVZ    ,Invesco                                ,Financials             ,Asset Management & Custody Banks                        ,"Atlanta, Georgia"                            ,2008-08-21  ,1935           ,   6738468380 ,6.74B
501 ,RHI    ,Robert Half                            ,Industrials            ,Human Resource & Employment Services                    ,"Menlo Park, California"                      ,2000-12-05  ,1948           ,   6676886790 ,6.68B
502 ,CMA    ,Comerica                               ,Financials             ,Diversified Banks                                       ,"Dallas, Texas"                               ,1995-12-01  ,1849           ,   6156014364 ,6.16B
